video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
EZ2TPymcdL4,UCXIJgqnII2ZOINSWNOGFThA,trump says us is on wartime footing in battle against coronavirus pandemic,Fox News,News & Politics,none,212798,2493,0,1516,2020-03-18T22:29:03Z,"President Trump,Donald Trump,Donald Trump coronavirus,coronavirus outbreak,coronavirus,coronavirus pandemic,trump press conference,coronavirus task force,trump coronavirus task force,mike pence,vice president mike pence,pence,trump,john roberts,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus update,pandemic,public health,trump coronavirus,coronavirus us,us coronavirus,stock market news,covid-19 us",PT3M37S,hd,True,https://i.ytimg.com/vi/EZ2TPymcdL4/default.jpg,https://www.youtube.com/watch?v=EZ2TPymcdL4
H9N9M9IjXD0,UCXIJgqnII2ZOINSWNOGFThA,klobucher reacts to trumps handling of the coronavirus pandemic,Fox News,News & Politics,none,159453,1017,0,4349,2020-10-04T20:00:02Z,"Fox News Channel,Fox News,News,health,politics,Fox News Sunday,Amy Klobuchar,Chris Wallace,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies",PT9M45S,hd,True,https://i.ytimg.com/vi/H9N9M9IjXD0/default.jpg,https://www.youtube.com/watch?v=H9N9M9IjXD0
zFWn5IVLYQk,UCXIJgqnII2ZOINSWNOGFThA,media condemns label chinese coronavirus after using it themselves,Fox News,News & Politics,none,277346,4832,0,2190,2020-03-14T03:36:40Z,"coronavirus,coronavirus media spin,coronavirus news,coronavirus outbreak,coronavirus china,china news,china coronavirus,coronavirus spread,racism,testing kits,docotr,world health organization,WHO,center for disease control,CDC,shannon bream,shannon bream fox news at night,fox news at night,fnc,fox news,fox news channel,fox news media,fox news network,jim acosta chinese coronavirus,chris cuomo chinese coornavirus,jim acosta",PT5M21S,hd,True,https://i.ytimg.com/vi/zFWn5IVLYQk/default.jpg,https://www.youtube.com/watch?v=zFWn5IVLYQk
gkR0jipzPRA,UCXIJgqnII2ZOINSWNOGFThA,how to prevent the spread of coronavirus,Fox News,News & Politics,none,29337,490,0,259,2020-03-18T19:15:01Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus tips,coronavirus prevention",PT31S,hd,False,https://i.ytimg.com/vi/gkR0jipzPRA/default.jpg,https://www.youtube.com/watch?v=gkR0jipzPRA
VdK77bhAwO0,UCXIJgqnII2ZOINSWNOGFThA,tucker experts cant predict when coronavirus pandemic will end,Fox News,News & Politics,none,647918,14559,0,6029,2020-04-08T00:54:31Z,"coronavirus models,modeling coronavirus,economic shutdown,dr. fauci economy,tucker on fauci,tucker on coronavirus,coronavirus data,coronavirus china,chinese coronavirus data,coronavirus peak,fnc,fox news,fox news channel,fox news media,fox news network,carlson,tucker,tucker carlson,tucker carlson monologue,tucker carlson monologue tonight,tucker monologue,tucker reacts,tucker tonight,coronavirus,coronavirus outbreak,coronavirus pandemic,covid-19",PT12M14S,hd,True,https://i.ytimg.com/vi/VdK77bhAwO0/default.jpg,https://www.youtube.com/watch?v=VdK77bhAwO0
Oei9_SRfaSw,UCXIJgqnII2ZOINSWNOGFThA,secretary ben carson on efforts to slow the coronavirus pandemic,Fox News,News & Politics,none,174401,2960,0,1063,2020-03-22T01:26:44Z,"politics,Fox News Channel,Fox News,HUD Secretary,Ben Carson,Trump administration,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT5M33S,hd,True,https://i.ytimg.com/vi/Oei9_SRfaSw/default.jpg,https://www.youtube.com/watch?v=Oei9_SRfaSw
76J7SqZXG1g,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,30924,403,0,124,2020-03-16T18:22:44Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus pandemic,bill hemmer,bill hemmer fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus in the us,trump,trump coronavirus,pandemic,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M42S,hd,True,https://i.ytimg.com/vi/76J7SqZXG1g/default.jpg,https://www.youtube.com/watch?v=76J7SqZXG1g
aSBWlKC7reM,UCXIJgqnII2ZOINSWNOGFThA,hhs sec azar provides an update on the coronavirus outbreak,Fox News,News & Politics,none,84300,1322,0,827,2020-03-09T15:38:11Z,"america's newsroom,health,health news,covid,covid 19,covid19,corona,coronavirus,coronavirus update",PT10M,hd,True,https://i.ytimg.com/vi/aSBWlKC7reM/default.jpg,https://www.youtube.com/watch?v=aSBWlKC7reM
JNhc67mSmEM,UCXIJgqnII2ZOINSWNOGFThA,ny gov cuomo holds a press briefing on coronavirus  ,Fox News,News & Politics,none,125596,573,0,482,2020-04-06T16:55:51Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,New York,Andrew Cuomo,NY Governor Andrew Cuomo,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT39M10S,hd,False,https://i.ytimg.com/vi/JNhc67mSmEM/default.jpg,https://www.youtube.com/watch?v=JNhc67mSmEM
mbzsRZ1gX1M,UCXIJgqnII2ZOINSWNOGFThA,when will a coronavirus vaccine be ready,Fox News,News & Politics,none,341462,2440,0,3114,2020-04-11T20:43:52Z,"Fox News Channel,Fox News,News,health,coronavirus vaccine,COVID-19 vaccine,FDA coronavirus,FDA vaccine,FDA COVID-19,Coronavirus treatment,COVID-19 treatment,coronavirus news,covid 19,world health organization,coronavirus pandemic,coronavirus update,coronavirus vaccine when,coronavirus vaccine explainer,coronavirus china,coronavirus vaccine update,covid 19 symptoms",PT4M47S,hd,True,https://i.ytimg.com/vi/mbzsRZ1gX1M/default.jpg,https://www.youtube.com/watch?v=mbzsRZ1gX1M
